rainfall,river_level,humidity,temperature,soil_moisture,elevation,drainage,urbanization,flood
329.34,0.74,98.07,32.48,50.5,680.11,0.34,0.88,0
312.11,6.4,42.74,43.82,48.94,910.71,0.06,0.12,1
61.21,1.65,52.59,34.83,41.14,940.9,0.89,0.85,0
100.24,6.35,68.56,14.38,37.25,533.48,0.5,0.17,0
376.64,1.54,76.11,35.22,64.46,842.53,0.56,0.83,1
11.35,0.45,74.9,30.19,68.6,766.96,0.42,0.64,0
199.22,6.27,50.28,43.48,53.47,804.69,0.68,0.3,0
29.19,0.6,60.77,26.95,28.36,606.66,0.31,0.72,0
293.68,8.61,98.28,14.58,43.35,561.65,0.32,0.47,1
106.99,2.48,36.78,20.16,44.57,615.38,0.25,0.87,0
63.88,3.27,70.44,20.95,78.68,498.27,0.51,0.5,0
123.42,0.23,96.17,27.69,97.0,215.14,0.35,0.05,0
197.96,8.82,75.8,26.47,58.3,847.17,0.43,0.88,1
291.0,7.64,55.62,24.02,61.33,194.66,0.55,0.07,1
201.7,7.64,49.58,44.62,71.24,118.81,0.98,0.39,0
317.96,3.39,95.73,36.42,27.92,509.12,0.5,0.05,0
54.81,3.33,63.16,25.99,64.56,515.51,0.33,0.61,0
65.0,9.91,81.75,20.47,40.27,828.29,0.53,0.71,0
119.92,8.16,55.79,33.58,98.19,583.7,0.8,0.73,0
275.22,0.27,63.22,43.85,80.46,776.16,0.58,0.72,0
233.41,1.71,74.03,31.69,85.71,147.78,0.68,0.03,0
379.28,1.1,31.33,20.98,23.63,690.5,0.41,0.77,0
368.21,8.73,81.51,12.18,22.43,207.34,0.33,0.66,1
210.19,3.14,42.12,41.92,40.81,354.29,0.77,0.72,0
257.32,6.93,72.71,16.73,32.19,558.09,0.22,0.97,1
119.05,2.89,44.51,34.67,38.53,348.8,0.93,0.8,0
109.38,1.22,77.36,23.29,98.21,818.38,0.95,0.8,0
116.18,2.88,79.99,22.12,49.81,256.44,0.48,0.2,0
215.43,9.33,78.73,14.8,65.41,586.83,0.24,0.67,1
212.42,6.38,33.67,24.47,74.56,100.54,0.77,0.01,0
220.14,9.29,58.48,42.73,89.06,477.45,0.2,0.96,1
128.47,6.46,93.56,13.13,61.67,535.15,0.72,0.94,0
365.29,1.75,91.76,16.15,92.77,997.17,0.4,0.5,1
374.64,9.62,94.82,40.69,10.83,567.96,0.11,0.98,1
113.82,9.89,68.03,27.29,94.47,851.06,0.47,0.19,0
45.06,1.62,62.12,19.0,26.76,736.62,0.79,0.57,0
302.91,1.75,89.93,41.4,84.43,515.28,0.09,0.67,1
73.91,1.41,52.65,18.68,33.47,235.52,0.75,0.95,0
120.78,7.23,30.8,32.88,72.35,62.12,0.12,0.31,0
162.17,5.03,92.66,34.62,37.99,117.42,0.92,0.3,0
245.85,2.19,39.35,15.36,77.3,605.74,0.42,0.55,0
188.33,5.38,76.49,17.64,32.27,754.74,0.87,0.08,0
178.7,7.04,35.47,29.75,15.56,547.65,0.51,0.57,0
59.94,3.28,66.42,14.07,28.49,583.15,0.09,0.51,0
323.48,4.53,65.93,25.99,15.2,462.38,0.81,0.72,0
158.38,8.16,82.21,30.24,14.08,344.53,0.06,0.99,1
373.83,0.69,95.36,11.11,46.8,768.97,0.77,0.98,0
258.35,4.2,99.5,23.39,88.27,906.77,0.38,0.68,1
264.72,5.39,75.75,22.17,26.06,537.26,0.53,0.73,0
89.08,0.03,31.59,20.44,70.61,544.45,0.53,0.82,0
99.0,3.46,49.3,42.81,75.25,112.84,0.81,0.42,0
306.42,8.84,31.1,17.21,19.08,33.58,0.6,0.7,1
19.47,7.41,58.16,18.2,29.55,863.73,0.06,0.5,0
115.71,8.16,81.21,21.16,63.81,672.53,0.32,0.3,0
57.3,6.6,45.47,20.52,15.49,948.52,0.88,0.91,0
250.4,4.27,64.69,44.03,94.74,671.34,0.79,0.32,0
166.53,1.49,56.35,36.4,52.62,849.34,0.3,0.71,0
322.31,9.15,69.37,43.87,60.16,134.09,0.24,0.2,1
258.68,9.22,89.3,13.24,75.21,190.48,0.27,0.67,1
241.17,8.74,43.17,36.66,75.19,558.85,0.48,0.87,1
133.19,9.57,31.07,42.8,96.59,117.32,1.0,0.48,0
97.04,6.04,44.32,42.03,59.69,775.51,0.38,0.53,0
143.7,2.62,65.9,27.4,18.87,981.32,0.47,0.84,0
365.73,3.71,58.98,29.69,29.91,145.92,0.26,0.93,1
231.66,4.18,40.67,21.55,44.19,833.36,0.5,0.65,0
273.94,2.57,87.51,43.83,67.75,490.6,0.17,0.79,1
67.71,7.2,64.18,42.09,58.79,641.81,0.06,0.03,0
338.68,9.45,76.78,36.75,47.12,842.54,0.23,0.71,1
3.66,5.06,56.12,31.62,70.01,616.52,0.48,0.49,0
2.64,5.52,30.83,28.53,34.73,977.48,0.02,0.81,0
269.61,8.06,93.68,13.75,18.67,148.9,0.19,0.53,1
326.09,2.67,57.78,23.06,46.54,565.0,0.99,0.23,0
273.62,8.48,75.76,40.04,78.36,93.5,0.38,0.55,1
22.45,0.09,42.0,27.5,49.05,784.38,0.57,0.86,0
38.14,5.28,32.98,17.4,88.13,887.55,0.48,0.05,0
29.74,9.26,92.95,29.72,12.96,928.77,0.31,0.96,0
234.81,7.52,79.89,23.94,16.92,162.45,0.24,0.83,1
155.66,8.97,53.22,36.45,22.6,988.48,0.72,0.5,0
389.73,0.54,60.6,39.35,40.65,769.01,0.95,0.4,0
309.42,0.3,49.13,44.74,54.15,355.81,0.94,0.43,0
271.88,6.61,36.0,31.65,81.82,713.11,0.08,0.15,1
284.67,6.34,81.78,21.08,19.59,5.2,0.31,0.36,1
107.91,1.33,43.12,25.71,59.93,408.04,0.03,0.35,0
37.23,5.98,52.71,23.48,36.27,387.8,0.08,0.9,0
362.08,9.78,70.04,15.94,44.27,138.84,0.3,0.49,1
25.31,4.35,59.48,26.95,16.92,251.7,0.25,0.63,0
237.52,1.96,37.49,20.66,95.39,332.22,0.62,0.8,0
131.82,3.35,87.08,40.08,97.68,136.12,0.32,0.95,0
80.34,3.14,97.52,43.91,36.23,694.96,0.49,0.58,0
96.97,3.76,87.15,23.75,20.25,563.85,0.59,0.55,0
272.69,5.5,96.71,26.16,73.75,438.45,0.29,0.69,1
327.59,7.96,58.64,27.48,67.0,242.02,0.66,0.72,1
315.63,0.74,99.35,26.77,46.07,506.61,0.92,0.69,0
217.46,7.91,55.17,41.34,58.32,638.18,0.08,0.77,1
263.04,3.55,75.29,11.55,98.52,677.47,0.4,0.75,1
386.29,4.3,30.74,19.06,55.96,518.8,0.58,0.58,1
178.31,3.91,84.06,30.6,55.04,344.97,0.02,0.1,0
166.39,9.62,38.12,42.92,22.75,311.89,0.46,0.21,0
193.17,4.76,60.67,34.39,38.7,300.26,0.81,0.12,0
339.67,6.48,77.4,15.75,98.55,243.91,0.17,0.16,1
223.94,9.58,46.23,24.18,26.6,640.48,0.43,0.03,0
245.64,1.97,71.45,23.61,73.43,205.78,0.75,0.81,0
25.03,1.02,91.04,16.54,39.34,457.55,0.26,0.86,0
211.09,6.39,71.79,31.4,62.83,347.92,0.85,0.62,0
325.5,7.06,50.82,31.51,17.63,133.95,0.12,0.31,1
73.22,6.93,65.76,24.64,22.41,383.71,0.19,0.64,0
277.37,6.45,99.99,29.42,54.07,140.3,0.31,0.45,1
21.44,3.59,30.67,14.78,83.37,963.83,0.51,0.49,0
273.88,4.16,88.79,27.1,17.44,30.86,0.76,0.29,0
109.94,5.38,41.77,26.01,76.83,765.92,0.55,0.11,0
45.68,7.75,87.63,22.84,84.03,41.61,0.72,0.55,0
395.91,1.02,88.1,36.3,36.79,999.31,0.45,0.35,0
326.69,4.39,99.58,37.15,31.33,810.7,0.59,0.35,0
284.3,6.33,41.62,14.87,28.6,206.94,0.06,0.35,1
112.43,5.39,52.66,34.64,36.04,267.34,0.86,0.99,0
271.72,0.95,97.39,37.5,92.69,992.49,0.87,0.13,0
346.43,2.5,79.8,39.0,78.53,676.23,0.49,0.58,1
107.49,4.14,61.64,32.18,89.21,93.09,0.52,0.28,0
374.53,3.69,96.52,21.46,10.22,774.14,0.73,0.73,1
183.38,6.64,55.08,12.22,58.1,217.83,0.43,0.21,0
107.41,8.28,53.64,30.23,60.95,485.34,0.34,0.68,0
19.36,1.0,84.87,26.09,21.18,857.65,0.44,0.0,0
383.21,2.02,78.2,14.62,68.5,158.98,0.93,0.27,1
261.84,2.5,56.03,41.63,24.9,396.34,0.31,0.7,0
93.66,6.55,79.26,10.04,52.91,132.7,0.23,0.68,0
3.71,6.96,87.2,44.59,48.01,132.18,0.07,0.38,0
292.31,1.02,51.93,40.83,22.34,773.46,0.75,0.13,0
397.18,1.43,67.14,10.3,68.5,440.1,0.72,0.63,1
60.55,4.12,78.06,40.1,17.8,100.47,0.75,0.59,0
153.61,9.63,52.02,14.89,34.93,84.25,0.55,0.6,0
243.04,7.79,78.33,39.68,69.26,301.65,0.52,0.51,1
299.14,2.96,33.82,41.43,95.92,494.89,0.11,0.5,1
237.57,5.28,98.44,44.54,94.05,131.98,0.86,0.57,1
146.16,6.83,83.39,43.41,79.33,16.69,0.07,0.26,1
15.93,0.6,85.25,27.73,66.57,501.05,0.42,0.7,0
32.97,5.37,73.12,19.71,37.89,511.3,0.2,0.81,0
214.56,3.91,74.4,39.21,71.3,66.12,0.7,0.73,0
338.59,0.58,36.03,25.21,50.8,608.83,0.31,0.74,0
296.26,1.19,79.55,34.55,24.74,953.02,0.52,0.78,0
288.31,1.67,38.89,37.34,34.19,886.41,0.77,0.03,0
322.84,2.72,34.47,34.93,61.9,77.07,0.46,0.36,0
199.84,5.67,55.74,18.93,19.26,573.91,0.72,0.23,0
203.53,0.44,90.4,18.56,52.46,382.98,0.15,0.93,0
342.99,5.53,93.98,35.92,47.74,321.8,0.42,0.72,1
108.5,0.78,56.1,27.57,91.17,179.34,0.8,0.98,0
381.63,0.69,62.56,19.88,86.04,327.3,0.55,0.01,0
80.27,5.64,51.27,31.8,51.75,591.69,0.49,0.77,0
78.17,9.0,83.23,18.58,10.57,410.04,0.23,0.35,0
335.83,8.77,96.57,10.05,69.16,849.01,0.73,0.1,1
211.93,2.38,64.44,12.1,99.73,711.65,0.09,0.92,0
358.91,5.2,79.06,23.04,97.71,84.9,0.1,0.13,1
327.99,0.75,69.75,25.22,96.78,236.77,0.26,0.32,1
320.33,7.01,81.47,21.13,34.48,74.69,0.2,0.78,1
233.88,1.55,41.51,26.31,46.59,535.92,0.96,0.21,0
123.32,2.65,38.39,15.52,71.74,826.39,0.7,0.04,0
334.37,3.28,36.38,18.69,42.02,513.46,0.68,0.26,0
396.27,0.31,58.31,25.83,77.33,249.85,0.46,0.8,1
55.92,0.12,88.13,44.39,21.76,823.67,0.37,0.63,0
257.87,5.82,48.12,38.45,11.96,64.47,0.9,0.44,0
51.52,9.05,88.05,21.6,13.84,460.99,0.17,0.57,0
328.67,3.95,32.06,33.91,25.55,214.72,0.19,0.28,0
353.37,0.35,73.34,18.6,36.56,411.99,0.55,0.06,0
111.91,1.37,43.96,40.96,57.32,630.75,0.8,0.79,0
395.76,7.82,55.14,29.06,53.62,912.68,0.5,0.39,1
71.93,3.19,45.33,41.35,80.07,58.59,0.99,0.53,0
306.74,10.0,98.18,13.5,69.12,266.53,0.82,0.92,1
22.36,9.96,45.36,39.63,81.77,354.8,0.84,0.85,0
70.44,5.93,86.43,34.42,92.26,28.21,0.7,0.95,0
225.44,5.63,43.18,44.58,89.35,492.23,0.31,0.49,0
36.1,2.33,45.32,28.43,10.06,917.9,0.2,0.13,0
286.78,9.19,89.1,21.33,11.97,586.61,0.92,0.77,1
338.59,8.61,97.24,23.08,94.77,395.6,0.1,0.3,1
54.58,1.58,96.41,37.71,96.46,649.18,0.17,0.97,0
277.42,9.29,85.09,17.81,63.01,175.35,0.31,0.69,1
50.94,7.29,96.42,43.2,45.24,994.28,0.97,0.03,0
240.96,9.21,97.73,17.73,60.9,936.69,0.14,0.75,1
95.2,9.82,41.75,40.99,17.99,708.97,0.64,0.89,0
178.65,2.65,47.47,12.37,33.1,108.03,0.0,0.39,0
293.03,9.69,91.92,27.26,44.08,546.02,0.1,0.48,1
345.62,6.51,78.1,15.69,16.63,845.76,0.29,0.32,1
380.66,0.74,41.91,23.14,75.88,547.05,0.9,0.09,0
237.61,6.14,63.79,11.08,94.82,165.0,0.89,0.16,0
40.5,2.06,43.3,34.4,74.98,729.97,0.27,0.28,0
95.02,0.5,70.02,39.39,23.82,360.83,0.43,0.29,0
264.81,6.0,43.98,10.9,25.37,291.81,0.08,0.84,1
123.34,3.97,64.24,33.14,18.2,544.13,0.18,0.89,0
147.76,4.46,48.43,26.28,30.36,268.56,0.06,0.75,0
266.99,0.86,54.07,28.95,97.36,589.73,0.55,0.84,0
327.36,4.19,67.49,40.34,52.73,881.65,0.48,0.08,0
361.11,7.14,65.15,41.52,82.04,677.53,0.62,0.12,1
302.88,1.73,98.91,44.03,82.76,126.19,0.42,0.99,1
174.16,9.97,73.91,39.19,33.21,910.8,0.91,0.07,0
155.24,3.97,52.83,19.67,51.23,873.47,0.79,0.62,0
209.02,4.2,59.01,15.19,62.91,758.38,0.94,0.92,0
225.07,1.01,50.03,28.75,40.95,410.89,0.38,0.49,0
243.58,0.37,49.28,15.03,64.78,693.66,0.04,0.89,0
132.6,2.38,82.2,42.23,90.73,20.23,0.82,0.3,0
112.14,4.92,78.73,13.44,88.2,134.39,0.97,0.44,0
330.33,2.69,59.17,32.59,26.91,211.39,0.82,0.74,0
303.8,8.67,87.47,28.03,24.31,311.12,0.51,0.14,1
340.52,8.79,32.03,16.75,84.96,836.98,0.25,0.46,1
367.21,7.05,49.18,38.82,55.46,635.41,0.12,0.03,1
148.99,5.94,42.43,40.47,62.82,349.76,0.16,0.89,0
299.58,6.89,49.95,23.53,24.66,572.26,0.96,0.86,0
258.95,6.78,48.84,24.33,11.8,780.3,0.77,0.01,0
364.61,6.47,72.08,10.3,32.72,805.09,0.31,0.97,1
257.1,4.24,56.35,22.2,32.68,466.7,0.68,0.82,0
158.86,1.02,65.81,33.18,85.9,374.23,0.65,0.61,0
119.39,1.08,34.47,44.59,67.65,861.49,0.26,0.71,0
356.95,2.99,40.5,36.79,90.97,805.43,0.8,0.6,0
264.21,6.81,80.49,32.94,99.77,259.43,0.42,0.39,1
14.13,7.08,70.04,16.65,75.39,222.36,0.53,0.78,0
362.61,6.72,65.51,39.59,85.66,876.49,0.18,0.1,1
